info,Tokyo,Osaka,Nara
観測所(最大風速),東京,豊中,奈良
観測所までの距離(km)(最大風速),4.472,9.527,1.416
観測開始年(最大風速),1961,1977,1953
最新観測年(最大風速),2021,2021,2021
1990年以降max(最大風速),18.2,23.7,19.7
観測年(1990年以降max)(最大風速),2018.0,2017.0,2018.0
観測所(最大瞬間風速),東京,豊中,奈良
観測所までの距離(km)(最大瞬間風速),4.472,9.527,1.416
観測開始年(最大瞬間風速),1967,2009,1953
最新観測年(最大瞬間風速),2021,2021,2021
1990年以降max(最大瞬間風速),41.5,38.1,37.6
観測年(1990年以降max)(最大瞬間風速),2019.0,2018.0,1998.0
観測所(最大風速15m以上日数),東京,豊中,奈良
観測所までの距離(km)(最大風速15m以上日数),4.472,9.527,1.416
観測開始年(最大風速15m以上日数),1961,1977,1953
最新観測年(最大風速15m以上日数),2021,2021,2021
1990年以降max(最大風速15m以上日数),3.0,3.0,2.0
観測年(1990年以降max)(最大風速15m以上日数),2012.0,2018.0,2018.0
市区郡(基準風速),東京都墨田区,大阪府箕面市,奈良県奈良市
pointまでの距離(km)(基準風速),0.759,0.901,0.85
基準風速,34,34,32
観測所(最深積雪),東京,大阪,奈良
観測所までの距離(km)(最深積雪),4.472,17.076,1.416
観測開始年(最深積雪),1962,1957,1953
最新観測年(最深積雪),2021,2021,2021
1990年以降max(最深積雪),27.0,11.0,21.0
観測年(1990年以降max)(最深積雪),2014.0,1990.0,1990.0
観測所(雷日数),東京,大阪,奈良
観測所までの距離(km)(雷日数),4.472,17.076,1.416
観測開始年(雷日数),1916,1931,1954
最新観測年(雷日数),2021,2021,2019
1990年以降max(雷日数),26.0,38.0,45.0
観測年(1990年以降max)(雷日数),2012.0,2012.0,2012.0
1990年以降min(雷日数),6.0,8.0,13.0
観測年(1990年以降min)(雷日数),2003.0,2001.0,2018.0
1990年以降mean(雷日数),14.5,17.3125,22.93333333
観測所(日照時間),東京,能勢,奈良
観測所までの距離(km)(日照時間),4.472,13.781,1.416
観測開始年(日照時間),1890,1977,1953
最新観測年(日照時間),2021,2021,2021
1990年以降max(日照時間),2132.7,1920.3,2065.2
観測年(1990年以降max)(日照時間),2004.0,2013.0,2018.0
1990年以降min(日照時間),1535.4,1350.6,1509.2
観測年(1990年以降min)(日照時間),1998.0,1993.0,1993.0
1990年以降mean(日照時間),1938.375,1671.56129,1824.959375
観測所(全天日射量),東京,大阪,奈良
観測所までの距離(km)(全天日射量),4.472,17.076,1.416
観測開始年(全天日射量),1961,1961,1961
最新観測年(全天日射量),2021,2021,2021
1990年以降max(全天日射量),14.1,14.9,14.4
観測年(1990年以降max)(全天日射量),2013.0,2018.0,2018.0
1990年以降min(全天日射量),10.8,11.4,11.4
観測年(1990年以降min)(全天日射量),1998.0,1995.0,1993.0
1990年以降mean(全天日射量),12.690625,13.55625,13.0625
